genres
afroswing
avan-garde
basshall
birmingham grime
blues
chinese
circuit
classical
comedy
country
dance
dong-yo
easy listening
edm
electronic
english
espanol
flamenco
flow
folk
funk
german
gqom
guaracha
hip hop
house
indie
indie triste
japanase
Jazz
korean mask singer
latin
metal
musica canaria
pagode baiano
Pop
pop
punk
r&b
reggaeton
ritmo kombina
rock
russian
soul
swedish
trap
trap triste
uk diy punk
sacred
christian
uk funky
scandipop
instrumental
zimdancehall
cover
underground
alte
wave
shush
sovietwave
brooklyn drill
j-dance
eurodance
musica afroperuana
k-pop girl group
white noise
hollywood
show tunes
movie tunes
